EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,2019-09-01 20:00:00,1.21353,1.21367,1.21353,1.21367,3
GBPUSD,2019-09-01 20:01:00,1.21368,1.21368,1.21317,1.21368,15
GBPUSD,2019-09-01 20:02:00,1.21362,1.21371,1.21316,1.21316,15
GBPUSD,2019-09-01 20:03:00,1.21371,1.21371,1.21355,1.21365,10
GBPUSD,2019-09-01 20:04:00,1.21357,1.21379,1.21330,1.21378,17
GBPUSD,2019-09-01 20:05:00,1.21379,1.21379,1.21370,1.21379,6
GBPUSD,2019-09-01 20:06:00,1.21383,1.21393,1.21379,1.21379,4
GBPUSD,2019-09-01 20:07:00,1.21386,1.21388,1.21375,1.21380,8
GBPUSD,2019-09-01 20:08:00,1.21381,1.21383,1.21379,1.21379,12
GBPUSD,2019-09-01 20:09:00,1.21350,1.21403,1.21350,1.21358,12
GBPUSD,2019-09-01 20:10:00,,,,,
GBPUSD,2019-09-01 20:11:00,,,,,
GBPUSD,2019-09-01 20:12:00,,,,,
GBPUSD,2019-09-01 20:13:00,,,,,
GBPUSD,2019-09-01 20:14:00,1.21317,1.21317,1.21317,1.21317,1
GBPUSD,2019-09-01 20:15:00,1.21308,1.21370,1.21308,1.21369,3
GBPUSD,2019-09-01 20:16:00,1.21367,1.21369,1.21367,1.21369,4
GBPUSD,2019-09-01 20:17:00,1.21370,1.21370,1.21368,1.21368,3
GBPUSD,2019-09-01 20:18:00,1.21367,1.21389,1.21317,1.21389,7
GBPUSD,2019-09-01 20:19:00,1.21372,1.21372,1.21333,1.21347,8
GBPUSD,2019-09-01 20:20:00,1.21358,1.21358,1.21358,1.21358,3
GBPUSD,2019-09-01 20:21:00,1.21351,1.21351,1.21347,1.21347,2
GBPUSD,2019-09-01 20:22:00,1.21358,1.21358,1.21358,1.21358,3
GBPUSD,2019-09-01 20:23:00,,,,,
GBPUSD,2019-09-01 20:24:00,1.21365,1.21365,1.21365,1.21365,3
GBPUSD,2019-09-01 20:25:00,1.21355,1.21355,1.21355,1.21355,10
GBPUSD,2019-09-01 20:26:00,1.21359,1.21359,1.21359,1.21359,9
GBPUSD,2019-09-01 20:27:00,1.21365,1.21368,1.21365,1.21368,11
GBPUSD,2019-09-01 20:28:00,,,,,
GBPUSD,2019-09-01 20:29:00,1.21332,1.21371,1.21332,1.21340,4
GBPUSD,2019-09-01 20:30:00,1.21371,1.21385,1.21371,1.21379,14
GBPUSD,2019-09-01 20:31:00,1.21383,1.21383,1.21359,1.21359,2
GBPUSD,2019-09-01 20:32:00,1.21383,1.21385,1.21383,1.21385,6
GBPUSD,2019-09-01 20:33:00,1.21383,1.21460,1.21383,1.21460,2
GBPUSD,2019-09-01 20:34:00,1.21459,1.21459,1.21459,1.21459,1
GBPUSD,2019-09-01 20:35:00,,,,,
GBPUSD,2019-09-01 20:36:00,1.21460,1.21460,1.21460,1.21460,
GBPUSD,2019-09-01 20:37:00,1.21459,1.21459,1.21459,1.21459,
GBPUSD,2019-09-01 20:38:00,1.21460,1.21460,1.21460,1.21460,
GBPUSD,2019-09-01 20:39:00,,,,,
GBPUSD,2019-09-01 20:40:00,1.21366,1.21461,1.21366,1.21461,3
GBPUSD,2019-09-01 20:41:00,1.21375,1.21470,1.21375,1.21470,4
GBPUSD,2019-09-01 20:42:00,1.21471,1.21471,1.21471,1.21471,3
GBPUSD,2019-09-01 20:43:00,,,,,
GBPUSD,2019-09-01 20:44:00,,,,,
GBPUSD,2019-09-01 20:45:00,,,,,
GBPUSD,2019-09-01 20:46:00,,,,,
GBPUSD,2019-09-01 20:47:00,,,,,
GBPUSD,2019-09-01 20:48:00,,,,,
GBPUSD,2019-09-01 20:49:00,1.21542,1.21542,1.21542,1.21542,1
GBPUSD,2019-09-01 20:50:00,1.21471,1.21471,1.21471,1.21471,1
GBPUSD,2019-09-01 20:51:00,1.21408,1.21408,1.21408,1.21408,1
GBPUSD,2019-09-01 20:52:00,1.21414,1.21414,1.21414,1.21414,1
GBPUSD,2019-09-01 20:53:00,1.21408,1.21408,1.21408,1.21408,1
GBPUSD,2019-09-01 20:54:00,,,,,
GBPUSD,2019-09-01 20:55:00,,,,,
GBPUSD,2019-09-01 20:56:00,1.21472,1.21512,1.21472,1.21512,2
GBPUSD,2019-09-01 20:57:00,1.21506,1.21509,1.21506,1.21509,3
GBPUSD,2019-09-01 20:58:00,,,,,
GBPUSD,2019-09-01 20:59:00,1.21475,1.21475,1.21475,1.21475,1
GBPUSD,2019-09-01 21:00:00,,,,,
GBPUSD,2019-09-01 21:01:00,1.21400,1.21414,1.21396,1.21397,25
GBPUSD,2019-09-01 21:02:00,1.21386,1.21474,1.21374,1.21474,22
GBPUSD,2019-09-01 21:03:00,1.21479,1.21479,1.21479,1.21479,1
GBPUSD,2019-09-01 21:04:00,1.21474,1.21479,1.21342,1.21409,15
GBPUSD,2019-09-01 21:05:00,1.21417,1.21489,1.21324,1.21383,44
GBPUSD,2019-09-01 21:06:00,1.21421,1.21431,1.21420,1.21431,7
GBPUSD,2019-09-01 21:07:00,1.21430,1.21431,1.21408,1.21408,16
GBPUSD,2019-09-01 21:08:00,1.21414,1.21429,1.21409,1.21415,34
GBPUSD,2019-09-01 21:09:00,1.21417,1.21459,1.21410,1.21443,18
GBPUSD,2019-09-01 21:10:00,1.21415,1.21423,1.21411,1.21415,8
GBPUSD,2019-09-01 21:11:00,1.21411,1.21411,1.21409,1.21409,3
GBPUSD,2019-09-01 21:12:00,1.21411,1.21424,1.21387,1.21399,29
GBPUSD,2019-09-01 21:13:00,1.21398,1.21415,1.21398,1.21408,20
GBPUSD,2019-09-01 21:14:00,1.21406,1.21421,1.21388,1.21388,26
GBPUSD,2019-09-01 21:15:00,1.21419,1.21430,1.21359,1.21412,42
GBPUSD,2019-09-01 21:16:00,1.21403,1.21433,1.21396,1.21416,30
GBPUSD,2019-09-01 21:17:00,1.21417,1.21431,1.21416,1.21421,26
GBPUSD,2019-09-01 21:18:00,1.21423,1.21431,1.21423,1.21430,13
GBPUSD,2019-09-01 21:19:00,1.21431,1.21431,1.21421,1.21430,20
GBPUSD,2019-09-01 21:20:00,1.21421,1.21431,1.21421,1.21431,14
GBPUSD,2019-09-01 21:21:00,1.21430,1.21431,1.21423,1.21423,4
GBPUSD,2019-09-01 21:22:00,1.21431,1.21432,1.21424,1.21425,12
GBPUSD,2019-09-01 21:23:00,1.21426,1.21432,1.21424,1.21424,8
GBPUSD,2019-09-01 21:24:00,1.21389,1.21430,1.21389,1.21419,8
GBPUSD,2019-09-01 21:25:00,1.21417,1.21446,1.21400,1.21445,20
GBPUSD,2019-09-01 21:26:00,1.21442,1.21453,1.21438,1.21445,9
GBPUSD,2019-09-01 21:27:00,1.21415,1.21453,1.21414,1.21446,8
GBPUSD,2019-09-01 21:28:00,1.21447,1.21450,1.21440,1.21446,21
GBPUSD,2019-09-01 21:29:00,1.21447,1.21451,1.21391,1.21395,25
GBPUSD,2019-09-01 21:30:00,1.21396,1.21458,1.21371,1.21371,120
GBPUSD,2019-09-01 21:31:00,1.21455,1.21474,1.21371,1.21470,54
GBPUSD,2019-09-01 21:32:00,1.21463,1.21470,1.21411,1.21438,74
GBPUSD,2019-09-01 21:33:00,1.21436,1.21471,1.21430,1.21470,49
GBPUSD,2019-09-01 21:34:00,1.21466,1.21479,1.21455,1.21458,43
GBPUSD,2019-09-01 21:35:00,1.21457,1.21477,1.21334,1.21409,119
GBPUSD,2019-09-01 21:36:00,1.21411,1.21445,1.21411,1.21444,18
GBPUSD,2019-09-01 21:37:00,1.21445,1.21445,1.21417,1.21435,12
GBPUSD,2019-09-01 21:38:00,1.21442,1.21447,1.21412,1.21444,12
GBPUSD,2019-09-01 21:39:00,1.21448,1.21449,1.21384,1.21425,46
GBPUSD,2019-09-01 21:40:00,1.21427,1.21428,1.21393,1.21415,20
GBPUSD,2019-09-01 21:41:00,1.21422,1.21429,1.21394,1.21408,22
GBPUSD,2019-09-01 21:42:00,1.21414,1.21457,1.21413,1.21445,13
GBPUSD,2019-09-01 21:43:00,1.21457,1.21458,1.21424,1.21432,8
GBPUSD,2019-09-01 21:44:00,1.21431,1.21450,1.21431,1.21448,8
GBPUSD,2019-09-01 21:45:00,1.21449,1.21449,1.21415,1.21434,23
GBPUSD,2019-09-01 21:46:00,1.21432,1.21440,1.21421,1.21440,16
GBPUSD,2019-09-01 21:47:00,1.21424,1.21424,1.21418,1.21419,9
GBPUSD,2019-09-01 21:48:00,1.21415,1.21420,1.21392,1.21418,42
GBPUSD,2019-09-01 21:49:00,1.21410,1.21432,1.21405,1.21415,23
GBPUSD,2019-09-01 21:50:00,1.21425,1.21434,1.21410,1.21428,31
GBPUSD,2019-09-01 21:51:00,1.21435,1.21439,1.21372,1.21379,26
GBPUSD,2019-09-01 21:52:00,1.21373,1.21399,1.21373,1.21392,24
GBPUSD,2019-09-01 21:53:00,1.21393,1.21403,1.21388,1.21398,13
GBPUSD,2019-09-01 21:54:00,1.21389,1.21408,1.21389,1.21402,46
GBPUSD,2019-09-01 21:55:00,1.21406,1.21410,1.21403,1.21410,21
GBPUSD,2019-09-01 21:56:00,1.21396,1.21435,1.21396,1.21402,44
GBPUSD,2019-09-01 21:57:00,1.21408,1.21433,1.21403,1.21431,56
GBPUSD,2019-09-01 21:58:00,1.21432,1.21437,1.21431,1.21432,15
GBPUSD,2019-09-01 21:59:00,1.21430,1.21433,1.21392,1.21429,69
GBPUSD,2019-09-01 22:00:00,1.21425,1.21472,1.21391,1.21459,168
GBPUSD,2019-09-01 22:01:00,1.21488,1.21541,1.21418,1.21497,148
GBPUSD,2019-09-01 22:02:00,1.21506,1.21585,1.21488,1.21582,181
GBPUSD,2019-09-01 22:03:00,1.21580,1.21581,1.21570,1.21580,63
GBPUSD,2019-09-01 22:04:00,1.21579,1.21600,1.21573,1.21594,87
GBPUSD,2019-09-01 22:05:00,1.21593,1.21598,1.21558,1.21571,67
GBPUSD,2019-09-01 22:06:00,1.21583,1.21609,1.21581,1.21594,81
GBPUSD,2019-09-01 22:07:00,1.21597,1.21609,1.21591,1.21598,49
GBPUSD,2019-09-01 22:08:00,1.21597,1.21602,1.21575,1.21581,63
GBPUSD,2019-09-01 22:09:00,1.21579,1.21585,1.21557,1.21584,49
GBPUSD,2019-09-01 22:10:00,1.21583,1.21584,1.21581,1.21583,25
GBPUSD,2019-09-01 22:11:00,1.21582,1.21583,1.21533,1.21555,77
GBPUSD,2019-09-01 22:12:00,1.21556,1.21564,1.21556,1.21564,36
GBPUSD,2019-09-01 22:13:00,1.21563,1.21585,1.21546,1.21559,63
GBPUSD,2019-09-01 22:14:00,1.21566,1.21569,1.21538,1.21569,53
GBPUSD,2019-09-01 22:15:00,1.21566,1.21585,1.21563,1.21580,92
GBPUSD,2019-09-01 22:16:00,1.21582,1.21585,1.21552,1.21568,42
GBPUSD,2019-09-01 22:17:00,1.21569,1.21582,1.21561,1.21577,56
GBPUSD,2019-09-01 22:18:00,1.21580,1.21581,1.21577,1.21580,23
GBPUSD,2019-09-01 22:19:00,1.21579,1.21581,1.21578,1.21579,13
GBPUSD,2019-09-01 22:20:00,1.21580,1.21588,1.21550,1.21570,76
GBPUSD,2019-09-01 22:21:00,1.21571,1.21571,1.21567,1.21570,53
GBPUSD,2019-09-01 22:22:00,1.21571,1.21591,1.21564,1.21590,107
GBPUSD,2019-09-01 22:23:00,1.21576,1.21603,1.21572,1.21593,133
GBPUSD,2019-09-01 22:24:00,1.21592,1.21601,1.21572,1.21598,118
GBPUSD,2019-09-01 22:25:00,1.21576,1.21615,1.21576,1.21595,140
GBPUSD,2019-09-01 22:26:00,1.21569,1.21594,1.21526,1.21571,182
GBPUSD,2019-09-01 22:27:00,1.21565,1.21570,1.21530,1.21547,126
GBPUSD,2019-09-01 22:28:00,1.21533,1.21557,1.21533,1.21555,90
GBPUSD,2019-09-01 22:29:00,1.21554,1.21556,1.21553,1.21555,40
GBPUSD,2019-09-01 22:30:00,1.21556,1.21588,1.21538,1.21570,109
GBPUSD,2019-09-01 22:31:00,1.21547,1.21591,1.21547,1.21589,124
GBPUSD,2019-09-01 22:32:00,1.21591,1.21611,1.21570,1.21594,114
GBPUSD,2019-09-01 22:33:00,1.21599,1.21601,1.21593,1.21594,74
GBPUSD,2019-09-01 22:34:00,1.21591,1.21594,1.21591,1.21593,57
GBPUSD,2019-09-01 22:35:00,1.21594,1.21597,1.21538,1.21561,108
GBPUSD,2019-09-01 22:36:00,1.21560,1.21577,1.21540,1.21563,77
GBPUSD,2019-09-01 22:37:00,1.21561,1.21571,1.21544,1.21566,92
GBPUSD,2019-09-01 22:38:00,1.21565,1.21579,1.21550,1.21573,60
GBPUSD,2019-09-01 22:39:00,1.21574,1.21594,1.21563,1.21591,96
GBPUSD,2019-09-01 22:40:00,1.21590,1.21596,1.21589,1.21592,69
GBPUSD,2019-09-01 22:41:00,1.21593,1.21593,1.21590,1.21593,29
GBPUSD,2019-09-01 22:42:00,1.21592,1.21595,1.21589,1.21592,51
GBPUSD,2019-09-01 22:43:00,1.21593,1.21595,1.21583,1.21587,97
GBPUSD,2019-09-01 22:44:00,1.21588,1.21608,1.21583,1.21608,123
GBPUSD,2019-09-01 22:45:00,1.21609,1.21612,1.21599,1.21606,89
GBPUSD,2019-09-01 22:46:00,1.21608,1.21611,1.21595,1.21609,86
GBPUSD,2019-09-01 22:47:00,1.21610,1.21614,1.21603,1.21607,44
GBPUSD,2019-09-01 22:48:00,1.21603,1.21614,1.21599,1.21607,58
GBPUSD,2019-09-01 22:49:00,1.21608,1.21613,1.21580,1.21580,63
GBPUSD,2019-09-01 22:50:00,1.21584,1.21584,1.21570,1.21576,163
GBPUSD,2019-09-01 22:51:00,1.21578,1.21585,1.21576,1.21580,132
GBPUSD,2019-09-01 22:52:00,1.21579,1.21604,1.21579,1.21595,138
GBPUSD,2019-09-01 22:53:00,1.21596,1.21602,1.21586,1.21596,171
GBPUSD,2019-09-01 22:54:00,1.21595,1.21604,1.21592,1.21596,63
GBPUSD,2019-09-01 22:55:00,1.21594,1.21602,1.21591,1.21597,67
GBPUSD,2019-09-01 22:56:00,1.21601,1.21601,1.21583,1.21598,132
GBPUSD,2019-09-01 22:57:00,1.21612,1.21633,1.21606,1.21616,162
GBPUSD,2019-09-01 22:58:00,1.21617,1.21617,1.21585,1.21586,329
GBPUSD,2019-09-01 22:59:00,1.21587,1.21595,1.21580,1.21590,162
GBPUSD,2019-09-01 23:00:00,1.21589,1.21596,1.21573,1.21587,449
GBPUSD,2019-09-01 23:01:00,1.21588,1.21610,1.21585,1.21610,267
GBPUSD,2019-09-01 23:02:00,1.21611,1.21618,1.21605,1.21608,115
GBPUSD,2019-09-01 23:03:00,1.21607,1.21615,1.21607,1.21612,97
GBPUSD,2019-09-01 23:04:00,1.21613,1.21619,1.21611,1.21613,153
GBPUSD,2019-09-01 23:05:00,1.21612,1.21616,1.21609,1.21611,114
GBPUSD,2019-09-01 23:06:00,1.21612,1.21618,1.21611,1.21614,120
GBPUSD,2019-09-01 23:07:00,1.21615,1.21615,1.21610,1.21611,90
GBPUSD,2019-09-01 23:08:00,1.21610,1.21616,1.21610,1.21612,119
GBPUSD,2019-09-01 23:09:00,1.21611,1.21617,1.21610,1.21615,137
GBPUSD,2019-09-01 23:10:00,1.21613,1.21617,1.21610,1.21611,92
GBPUSD,2019-09-01 23:11:00,1.21612,1.21614,1.21608,1.21612,228
GBPUSD,2019-09-01 23:12:00,1.21613,1.21622,1.21611,1.21619,99
GBPUSD,2019-09-01 23:13:00,1.21620,1.21620,1.21604,1.21605,93
GBPUSD,2019-09-01 23:14:00,1.21604,1.21607,1.21599,1.21606,84
GBPUSD,2019-09-01 23:15:00,1.21605,1.21608,1.21602,1.21605,92
GBPUSD,2019-09-01 23:16:00,1.21606,1.21608,1.21604,1.21605,39
GBPUSD,2019-09-01 23:17:00,1.21604,1.21607,1.21603,1.21604,58
GBPUSD,2019-09-01 23:18:00,1.21605,1.21607,1.21603,1.21605,55
GBPUSD,2019-09-01 23:19:00,1.21606,1.21608,1.21603,1.21608,78
GBPUSD,2019-09-01 23:20:00,1.21607,1.21610,1.21603,1.21605,109
GBPUSD,2019-09-01 23:21:00,1.21606,1.21606,1.21593,1.21596,108
GBPUSD,2019-09-01 23:22:00,1.21595,1.21598,1.21593,1.21595,63
GBPUSD,2019-09-01 23:23:00,1.21602,1.21604,1.21582,1.21587,114
GBPUSD,2019-09-01 23:24:00,1.21588,1.21589,1.21585,1.21586,100
GBPUSD,2019-09-01 23:25:00,1.21587,1.21591,1.21585,1.21586,140
GBPUSD,2019-09-01 23:26:00,1.21585,1.21591,1.21585,1.21590,60
GBPUSD,2019-09-01 23:27:00,1.21591,1.21592,1.21586,1.21588,86
GBPUSD,2019-09-01 23:28:00,1.21587,1.21589,1.21584,1.21587,56
GBPUSD,2019-09-01 23:29:00,1.21588,1.21612,1.21587,1.21612,104
GBPUSD,2019-09-01 23:30:00,1.21611,1.21617,1.21593,1.21612,176
GBPUSD,2019-09-01 23:31:00,1.21611,1.21617,1.21611,1.21614,124
GBPUSD,2019-09-01 23:32:00,1.21615,1.21626,1.21610,1.21624,170
GBPUSD,2019-09-01 23:33:00,1.21623,1.21637,1.21604,1.21611,203
GBPUSD,2019-09-01 23:34:00,1.21612,1.21619,1.21611,1.21614,242
GBPUSD,2019-09-01 23:35:00,1.21616,1.21620,1.21579,1.21585,115
GBPUSD,2019-09-01 23:36:00,1.21584,1.21592,1.21581,1.21585,194
GBPUSD,2019-09-01 23:37:00,1.21586,1.21587,1.21580,1.21582,115
GBPUSD,2019-09-01 23:38:00,1.21583,1.21585,1.21581,1.21582,174
GBPUSD,2019-09-01 23:39:00,1.21583,1.21588,1.21581,1.21584,343
GBPUSD,2019-09-01 23:40:00,1.21583,1.21588,1.21582,1.21584,277
GBPUSD,2019-09-01 23:41:00,1.21583,1.21587,1.21582,1.21582,277
GBPUSD,2019-09-01 23:42:00,1.21583,1.21586,1.21581,1.21584,288
GBPUSD,2019-09-01 23:43:00,1.21585,1.21586,1.21582,1.21584,252
GBPUSD,2019-09-01 23:44:00,1.21583,1.21587,1.21583,1.21584,285
GBPUSD,2019-09-01 23:45:00,1.21585,1.21590,1.21585,1.21585,101
GBPUSD,2019-09-01 23:46:00,1.21584,1.21586,1.21583,1.21586,51
GBPUSD,2019-09-01 23:47:00,1.21585,1.21590,1.21584,1.21585,59
GBPUSD,2019-09-01 23:48:00,1.21584,1.21587,1.21583,1.21586,43
GBPUSD,2019-09-01 23:49:00,1.21585,1.21586,1.21583,1.21585,35
GBPUSD,2019-09-01 23:50:00,1.21584,1.21590,1.21582,1.21585,89
GBPUSD,2019-09-01 23:51:00,1.21584,1.21587,1.21583,1.21584,34
GBPUSD,2019-09-01 23:52:00,1.21585,1.21586,1.21582,1.21584,65
GBPUSD,2019-09-01 23:53:00,1.21585,1.21586,1.21579,1.21582,37
GBPUSD,2019-09-01 23:54:00,1.21581,1.21584,1.21580,1.21582,26
GBPUSD,2019-09-01 23:55:00,1.21581,1.21584,1.21575,1.21578,53
GBPUSD,2019-09-01 23:56:00,1.21577,1.21578,1.21576,1.21578,19
GBPUSD,2019-09-01 23:57:00,1.21579,1.21580,1.21576,1.21577,61
GBPUSD,2019-09-01 23:58:00,1.21578,1.21578,1.21574,1.21578,44
GBPUSD,2019-09-01 23:59:00,1.21579,1.21580,1.21573,1.21575,85
GBPUSD,2019-09-02 00:00:00,1.21577,1.21588,1.21577,1.21579,43
GBPUSD,2019-09-02 00:01:00,1.21580,1.21580,1.21571,1.21575,93
GBPUSD,2019-09-02 00:02:00,1.21576,1.21580,1.21564,1.21565,82
GBPUSD,2019-09-02 00:03:00,1.21566,1.21566,1.21553,1.21555,98
GBPUSD,2019-09-02 00:04:00,1.21554,1.21558,1.21544,1.21547,88
GBPUSD,2019-09-02 00:05:00,1.21549,1.21551,1.21544,1.21546,48
GBPUSD,2019-09-02 00:06:00,1.21547,1.21552,1.21542,1.21551,56
GBPUSD,2019-09-02 00:07:00,1.21550,1.21556,1.21547,1.21550,28
GBPUSD,2019-09-02 00:08:00,1.21555,1.21561,1.21543,1.21545,77
GBPUSD,2019-09-02 00:09:00,1.21544,1.21556,1.21542,1.21553,65
GBPUSD,2019-09-02 00:10:00,1.21552,1.21584,1.21552,1.21577,92
GBPUSD,2019-09-02 00:11:00,1.21576,1.21577,1.21559,1.21560,69
GBPUSD,2019-09-02 00:12:00,1.21561,1.21573,1.21559,1.21561,74
GBPUSD,2019-09-02 00:13:00,1.21562,1.21568,1.21556,1.21567,48
GBPUSD,2019-09-02 00:14:00,1.21566,1.21567,1.21563,1.21566,41
GBPUSD,2019-09-02 00:15:00,1.21565,1.21566,1.21551,1.21552,78
GBPUSD,2019-09-02 00:16:00,1.21553,1.21556,1.21549,1.21551,65
GBPUSD,2019-09-02 00:17:00,1.21552,1.21557,1.21550,1.21553,53
GBPUSD,2019-09-02 00:18:00,1.21554,1.21555,1.21535,1.21540,84
GBPUSD,2019-09-02 00:19:00,1.21541,1.21548,1.21541,1.21544,58
GBPUSD,2019-09-02 00:20:00,1.21543,1.21546,1.21543,1.21546,28
GBPUSD,2019-09-02 00:21:00,1.21545,1.21556,1.21544,1.21556,36
GBPUSD,2019-09-02 00:22:00,1.21557,1.21557,1.21543,1.21550,83
GBPUSD,2019-09-02 00:23:00,1.21553,1.21562,1.21549,1.21554,57
GBPUSD,2019-09-02 00:24:00,1.21555,1.21565,1.21545,1.21560,73
GBPUSD,2019-09-02 00:25:00,1.21563,1.21567,1.21559,1.21561,73
GBPUSD,2019-09-02 00:26:00,1.21560,1.21566,1.21543,1.21547,63
GBPUSD,2019-09-02 00:27:00,1.21548,1.21555,1.21547,1.21555,35
GBPUSD,2019-09-02 00:28:00,1.21554,1.21556,1.21550,1.21555,14
GBPUSD,2019-09-02 00:29:00,1.21556,1.21556,1.21544,1.21550,36
GBPUSD,2019-09-02 00:30:00,1.21549,1.21558,1.21548,1.21552,62
GBPUSD,2019-09-02 00:31:00,1.21556,1.21557,1.21552,1.21552,33
GBPUSD,2019-09-02 00:32:00,1.21553,1.21564,1.21549,1.21562,116
GBPUSD,2019-09-02 00:33:00,1.21563,1.21563,1.21549,1.21553,82
GBPUSD,2019-09-02 00:34:00,1.21550,1.21562,1.21549,1.21555,75
GBPUSD,2019-09-02 00:35:00,1.21554,1.21564,1.21551,1.21555,175
GBPUSD,2019-09-02 00:36:00,1.21556,1.21564,1.21553,1.21564,132
GBPUSD,2019-09-02 00:37:00,1.21563,1.21564,1.21549,1.21557,130
GBPUSD,2019-09-02 00:38:00,1.21553,1.21562,1.21528,1.21533,92
GBPUSD,2019-09-02 00:39:00,1.21532,1.21538,1.21530,1.21534,59
GBPUSD,2019-09-02 00:40:00,1.21538,1.21545,1.21524,1.21526,122
GBPUSD,2019-09-02 00:41:00,1.21525,1.21525,1.21518,1.21519,56
GBPUSD,2019-09-02 00:42:00,1.21518,1.21526,1.21512,1.21514,132
GBPUSD,2019-09-02 00:43:00,1.21515,1.21525,1.21509,1.21520,97
GBPUSD,2019-09-02 00:44:00,1.21519,1.21535,1.21518,1.21531,100
GBPUSD,2019-09-02 00:45:00,1.21532,1.21544,1.21519,1.21519,138
GBPUSD,2019-09-02 00:46:00,1.21520,1.21522,1.21509,1.21515,121
GBPUSD,2019-09-02 00:47:00,1.21514,1.21530,1.21514,1.21523,101
GBPUSD,2019-09-02 00:48:00,1.21524,1.21538,1.21523,1.21532,78
GBPUSD,2019-09-02 00:49:00,1.21533,1.21536,1.21519,1.21524,81
GBPUSD,2019-09-02 00:50:00,1.21523,1.21545,1.21523,1.21534,128
GBPUSD,2019-09-02 00:51:00,1.21535,1.21536,1.21495,1.21496,181
GBPUSD,2019-09-02 00:52:00,1.21495,1.21496,1.21464,1.21468,197
GBPUSD,2019-09-02 00:53:00,1.21472,1.21472,1.21450,1.21464,140
GBPUSD,2019-09-02 00:54:00,1.21463,1.21471,1.21441,1.21460,126
GBPUSD,2019-09-02 00:55:00,1.21454,1.21455,1.21449,1.21453,55
GBPUSD,2019-09-02 00:56:00,1.21454,1.21468,1.21448,1.21459,162
GBPUSD,2019-09-02 00:57:00,1.21458,1.21464,1.21453,1.21462,64
GBPUSD,2019-09-02 00:58:00,1.21463,1.21485,1.21463,1.21485,72
GBPUSD,2019-09-02 00:59:00,1.21481,1.21495,1.21477,1.21480,99
GBPUSD,2019-09-02 01:00:00,1.21481,1.21501,1.21481,1.21484,203
GBPUSD,2019-09-02 01:01:00,1.21486,1.21497,1.21479,1.21490,115
GBPUSD,2019-09-02 01:02:00,1.21491,1.21499,1.21490,1.21494,45
GBPUSD,2019-09-02 01:03:00,1.21493,1.21499,1.21482,1.21488,79
GBPUSD,2019-09-02 01:04:00,1.21489,1.21521,1.21483,1.21519,129
GBPUSD,2019-09-02 01:05:00,1.21518,1.21521,1.21511,1.21511,62
GBPUSD,2019-09-02 01:06:00,1.21512,1.21518,1.21499,1.21501,104
GBPUSD,2019-09-02 01:07:00,1.21503,1.21503,1.21494,1.21500,110
GBPUSD,2019-09-02 01:08:00,1.21501,1.21501,1.21497,1.21498,47
GBPUSD,2019-09-02 01:09:00,1.21499,1.21501,1.21497,1.21499,65
GBPUSD,2019-09-02 01:10:00,1.21498,1.21500,1.21490,1.21491,79
GBPUSD,2019-09-02 01:11:00,1.21492,1.21500,1.21492,1.21498,146
GBPUSD,2019-09-02 01:12:00,1.21499,1.21499,1.21492,1.21493,94
GBPUSD,2019-09-02 01:13:00,1.21494,1.21500,1.21483,1.21486,71
GBPUSD,2019-09-02 01:14:00,1.21485,1.21491,1.21474,1.21489,150
GBPUSD,2019-09-02 01:15:00,1.21488,1.21508,1.21487,1.21508,120
GBPUSD,2019-09-02 01:16:00,1.21507,1.21512,1.21495,1.21502,181
GBPUSD,2019-09-02 01:17:00,1.21501,1.21501,1.21495,1.21499,140
